genename	refseq
AGER	NM_172197
AGER	NM_001206954
AGER	NM_001206936
AGER	NM_001206966
AGER	NM_001206940
VARS2	NM_020442
VARS2	NM_001167733
AGER	NM_001206932
AGER	NM_001136
TPO	NM_175722
AGER	NM_001206929
ANAPC2	NM_013366
SCLT1	NM_144643
HAS2	NM_005328
AGER	NM_001206934
VARS2	NM_001167734
HLA-DQA1	NM_002122
TCERG1L	NM_174937
HLA-DOB	NM_002120
ZC3H12C	NM_033390
TPO	NM_175721
ZC3H12C	NM_001411037
SSNA1	NM_003731
ELAPOR2	NM_001142749
SCLT1	NM_001300898
SCLT1	NM_001300897
DDX39B	NM_080598
DDX39B	NM_004640
GPANK1	NM_033177
GPANK1	NM_001199237
GPANK1	NM_001199240
GPANK1	NM_001199239
GPANK1	NM_001199238
TMEM161A	NM_001256766
TPRN	NM_001128228
BMX	NM_203281
BMX	NM_001320866
IMPG1	NM_001563
TMEM203	NM_053045
RNF224	NM_001190228
RAPGEF3	NM_001098531
ELAPOR2	NM_001291991
ELAPOR2	NM_001291990
ELAPOR2	NM_152748
BMX	NM_001721
IMPG1	NM_001282368
CDKL2	NM_003948
ABHD16A	NM_021160
ATF6B	NM_004381
CDKL2	NM_001330724
ATF6B	NM_001136153
WNT8B	NM_003393
NAGPA	NM_016256
ABHD16A	NM_001177515
ZNF488	NM_153034
ZNF488	NM_001346934
ZNF488	NM_001346933
ZNF488	NM_001346935
ZNF488	NM_001346936
ZNF488	NM_001346932
TAP2	NM_018833
TAP2	NM_001290043
SLC34A3	NM_001177317
SMARCC1	NM_003074
SLC34A3	NM_001177316
SLC34A3	NM_080877
MTRF1L	NM_001301871
TMEM161A	NM_017814
MTRF1L	NM_001301870
MTRF1L	NM_019041
CSNK2B	NM_001320
CSNK2B	NM_001282385
NEU1	NM_000434
MTRF1L	NM_001114184
MTRF1L	NM_001301047
MTRF1L	NM_001301872
TMEM161A	NM_001411131
TRIM15	NM_033229
CCDC172	NM_198515
HLA-DMA	NM_006120
TUBB4B	NM_006088
DXO	NM_001371206
DXO	NM_005510
DXO	NM_001371205
RGS10	NM_001005339
ERGIC3	NM_015966
MSH5	NM_172166
ERGIC3	NM_198398
FAM166A	NM_001001710
RGS10	NM_002925
MSH5	NM_002441
TCF12	NM_001322157
TCF12	NM_003205
TCF12	NM_207038
TCF12	NM_001322164
TCF12	NM_001322165
OR10C1	NM_013941
MSH5	NM_172165
TAF9	NM_003187
MSH5	NM_025259
TCF12	NM_001322156
TCF12	NM_001322158
RSPO3	NM_032784
TCF12	NM_001322151
TCF12	NM_001322159
TCF12	NM_207037
TCF12	NM_001322152
TCF12	NM_207036
TCF12	NM_001322162
TCF12	NM_001322161
AP1S2	NM_001272071
PPP1R1B	NM_032192
ATAD2	NM_014109
TAF9	NM_001015892
AP1S2	NM_003916
ARHGAP24	NM_001025616
CPT1B	NM_001145135
CPT1B	NM_152245
CPT1B	NM_001145137
C6orf47	NM_021184
SH3BGRL2	NM_031469
NELFB	NM_015456
TOR4A	NM_017723
CPT1B	NM_152246
CPT1B	NM_004377
PPP1R1B	NM_001242464
RAD17	NM_133343
AP1S2	NM_001369007
NRARP	NM_001004354
NRG3	NM_001010848
NRG3	NM_001370081
NRG3	NM_001165972
ARHGAP24	NM_001042669
ARHGAP24	NM_001346093
PPP1R1B	NM_181505
RAD17	NM_133338
AP1S2	NM_001368994
EEF2KMT	NM_201400
NRG3	NM_001370084
RAPGEF3	NM_006105
RAPGEF3	NM_001098532
AP1S2	NM_001369008
ARHGAP24	NM_001287805
CPT1B	NM_001145134
NRG3	NM_001165973
RAD17	NM_133342
RAD17	NM_133344
EEF2KMT	NM_201598
TCF12	NM_001322154
TCF12	NM_001306219
ARHGAP24	NM_031305
RAD17	NM_002873
TCF12	NM_001306220
RAD17	NM_133341
RAD17	NM_133339
TCF12	NM_207040
NRG3	NM_001370082
MAS1L	NM_052967
APEX2	NM_014481
APEX2	NM_001271748
RAD17	NM_133340
RAD17	NM_001278622
EEF2KMT	NM_001289029
HLA-DOA	NM_002119
HSD17B8	NM_014234
RAB5IF	NM_001374178
RAB5IF	NM_018840
CDK7	NM_001324069
CDK7	NM_001799
CDK7	NM_001324071
CDK7	NM_001324070
VAX1	NM_199131
VAX1	NM_001112704
GJD3	NM_152219
HSPA1B	NM_005346
CDK7	NM_001324077
CDK7	NM_001324072
CDK7	NM_001324075
CDK7	NM_001324074
CDK7	NM_001324078
GJD4	NM_153368
LY6G6D	NM_021246
RAB5IF	NM_001199534
GTF2H2	NM_001098728
GTF2H2	NM_001376003
GTF2H2	NM_001375998
GTF2H2	NM_001375999
GTF2H2	NM_001376002
GTF2H2	NM_001376005
GTF2H2	NM_001376000
GTF2H2	NM_001376001
RAB5IF	NM_199483
FKBPL	NM_022110
HLA-DQB2	NM_001300790
LY6G6D	NM_001353334
ARFGEF3	NM_020340
HLA-DQB2	NM_001198858
HLA-DQA2	NM_020056
HLA-E	NM_005516
TRIM31	NM_007028
GTF2H2C_2	NM_001354439
GTF2H2C_2	NM_001354438
GTF2H2C_2	NM_001354437
GTF2H2C_2	NM_001042490
NRM	NM_001270710
NRM	NM_001270709
NRM	NM_001270708
FUCA2	NM_032020
NRM	NM_007243
NRM	NM_001384369
NRM	NM_001270707
MT4	NM_032935
MARVELD2	NM_001038603
MARVELD2	NM_001244734
NPBWR1	NM_005285
ZBTB22	NM_001145338
ZBTB22	NM_005453
MT2A	NM_005953
ARMC6	NM_033415
UBE2V1	NM_001257396
CNTN4	NM_001350095
CNTN4	NM_175607
HLA-DRB3	NM_022555
CYP21A2	NM_000500
CNTN4	NM_001206955
SLC17A5	NM_001382636
SLC17A5	NM_001382629
SLC17A5	NM_001382632
SLC17A5	NM_001382635
SLC17A5	NM_001382634
SLC17A5	NM_001382630
SLC17A5	NM_012434
SLC17A5	NM_001382633
SLC17A5	NM_001382631
CTNNA1	NM_001323982
CTNNA1	NM_001323984
CTNNA1	NM_001903
CTNNA1	NM_001323985
CTNNA1	NM_001323986
CTNNA1	NM_001290310
CTNNA1	NM_001290309
CTNNA1	NM_001323983
ALAS2	NM_001037968
ARMC6	NM_001199196
OCLN	NM_002538
OCLN	NM_001205254
CYP21A2	NM_001368143
CYP21A2	NM_001368144
CYP21A2	NM_001128590
MT1E	NM_175617
UBE2V1	NM_001257395
UBE2V1	NM_001032288
UBE2V1	NM_001282577
OCLN	NM_001205255
ZBTB12	NM_181842
MT1E	NM_001363555
ALAS2	NM_000032
C2	NM_000063
ALAS2	NM_001037967
TEK	NM_001290078
CNTN4	NM_175613
CNTN4	NM_001206956
C2	NM_001282459
MT1M	NM_176870
HLA-A	NM_002116
SLC39A7	NM_006979
SLC39A7	NM_001288777
VWA7	NM_025258
SLC39A7	NM_001077516
C2	NM_001282458
C2	NM_001145903
CCDC125	NM_001297696
UBE2V1	NM_001282578
UBE2V1	NM_001257397
UBE2V1	NM_001282579
UBE2V1	NM_001257399
C2	NM_001282457
UBE2V1	NM_001282576
CCDC125	NM_001297697
MT1A	NM_005946
C2	NM_001178063
UBE2V1	NM_001257398
CCDC125	NM_176816
UBE2V1	NM_001257393
UBE2V1	NM_021988
UBE2V1	NM_001282575
B3GALT4	NM_003782
UBE2V1	NM_199144
UBE2V1	NM_022442
UBE2V1	NM_001257394
PPP1R9A	NM_001166160
ATAT1	NM_001190724
ATAT1	NM_001318762
ATAT1	NM_001413067
ATAT1	NM_001254952
AK6	NM_016283
ATAT1	NM_001318763
PAGE2B	NM_001015038
CHKB	NM_005198
PLPP5	NM_001410920
ATAT1	NM_024909
AK6	NM_001015891
ATAT1	NM_001031722
MT1B	NM_005947
TEK	NM_000459
TEK	NM_001375475
TEK	NM_001290077
TEK	NM_001375476
HYAL2	NM_003773
PAGE2	NM_207339
PRRC2A	NM_080686
MT1F	NM_005949
PPP1R9A	NM_001166161
NOTCH4	NM_004557
MT1F	NM_001301272
PRRC2A	NM_004638
PLPP5	NM_001354456
PLPP5	NM_001102559
HYAL2	NM_033158
PPP1R9A	NM_017650
PPP1R9A	NM_001166163
FBXL20	NM_032875
PLPP5	NM_001354452
PPP1R9A	NM_001166162
PLPP5	NM_001354458
PLPP5	NM_001354459
MRPS36	NM_033281
VPS52	NM_001289176
VPS52	NM_001289175
VPS52	NM_022553
VPS52	NM_001289174
FBXL20	NM_001184906
MT1X	NM_005952
RING1	NM_002931
PPP1R18	NM_001134870
PPP1R18	NM_133471
PLPP5	NM_032483
PLPP5	NM_001354454
FBXL20	NM_001370209
FBXL20	NM_001370208
TUBB	NM_178014
TUBB	NM_001293213
TUBB	NM_001293214
TNXB	NM_032470
TUBB	NM_001293215
TUBB	NM_001293216
TUBB	NM_001293212
NUP107	NM_020401
PLPP5	NM_001102560
PLPP5	NM_001354457
FAM13A	NM_001265579
SPATA12	NM_181727
GTF2H4	NM_001517
MIEN1	NM_032339
MIEN1	NM_001330206
MAPK8IP2	NM_012324
TRIM10	NM_052828
TRIM10	NM_006778
PFDN6	NM_001185181
ZNF462	NM_021224
ZNF462	NM_001347997
FAM13A	NM_014883
PFDN6	NM_001265596
PFDN6	NM_014260
PFDN6	NM_001265595
NUP107	NM_001330192
ADD3	NM_019903
TAPBP	NM_172209
TAPBP	NM_003190
TAPBP	NM_172208
PON3	NM_000940
MCCD1	NM_001011700
NELFE	NM_002904
CRYM	NM_001376256
CRYM	NM_001888
WASF1	NM_001024936
ADD3	NM_001320591
ADD3	NM_001320592
ADD3	NM_001320593
ADD3	NM_001320594
ADD3	NM_016824
ZNF91	NM_003430
ADD3	NM_001121
ZNF91	NM_001300951
CTNNA1	NM_001290307
FAM13A	NM_001265578
CTNNA1	NM_001323996
CTNNA1	NM_001323993
CTNNA1	NM_001324005
CTNNA1	NM_001323998
CTNNA1	NM_001323999
CTNNA1	NM_001324007
CTNNA1	NM_001324003
CTNNA1	NM_001323990
CTNNA1	NM_001323991
CTNNA1	NM_001324000
CTNNA1	NM_001324013
CTNNA1	NM_001324009
CTNNA1	NM_001324002
CTNNA1	NM_001290312
CTNNA1	NM_001324001
CTNNA1	NM_001323994
CTNNA1	NM_001323988
CTNNA1	NM_001323997
CTNNA1	NM_001323992
CTNNA1	NM_001324006
CTNNA1	NM_001323995
CTNNA1	NM_001324011
CTNNA1	NM_001323989
CTNNA1	NM_001324008
CTNNA1	NM_001324004
CTNNA1	NM_001323987
CTNNA1	NM_001324012
CTNNA1	NM_001324010
SAPCD1	NM_001039651
RNASEH1	NM_001378272
RNASEH1	NM_001378273
RNASEH1	NM_001286834
RNASEH1	NM_002936
RNASEH1	NM_001378271
RNASEH1	NM_001286837
SNX18	NM_001145427
RPS18	NM_022551
OR2H1	NM_001318014
OR2H1	NM_030883
OR2H1	NM_001318022
ACTL7B	NM_006686
FAM13A	NM_001015045
ABHD5	NM_001355186
ABHD5	NM_016006
SNX18	NM_001102575
ACTL7A	NM_006687
ABHD5	NM_001365650
WASF1	NM_003931
SNX18	NM_052870
FAM13A	NM_001265580
WASF1	NM_001024935
WASF1	NM_001024934
LST1	NM_205838
LST1	NM_205839
APOM	NM_001256169
SERPINE1	NM_001386466
SERPINE1	NM_001386465
SERPINE1	NM_001386458
SERPINE1	NM_001386464
SERPINE1	NM_000602
SERPINE1	NM_001386459
SERPINE1	NM_001386460
SERPINE1	NM_001386461
SERPINE1	NM_001386457
SERPINE1	NM_001386463
SERPINE1	NM_001386462
SERPINE1	NM_001386456
APOM	NM_019101
ABHD5	NM_001365649
LST1	NM_205837
FBXO5	NM_012177
FBXO5	NM_001142522
RGL2	NM_001243738
RGL2	NM_004761
LST1	NM_205840
LST1	NM_001166538
LST1	NM_007161
CFB	NM_001710
PPIL4	NM_139126
DDR1	NM_001387915
DDR1	NM_001387917
DDR1	NM_001954
DDR1	NM_001387916
DDR1	NM_001387918
DDR1	NM_001387914
DDR1	NM_001387906
DDR1	NM_001297653
DDR1	NM_001387894
DDR1	NM_001387892
DDR1	NM_001387900
DDR1	NM_001387903
DDR1	NM_001387902
DDR1	NM_001387898
DDR1	NM_013994
DDR1	NM_001297654
DDR1	NM_001387896
TMEM18	NM_152834
DDR1	NM_001387893
DDR1	NM_001387909
DDR1	NM_001387908
DDR1	NM_001387911
DDR1	NM_001387912
DDR1	NM_001387910
DDR1	NM_001387905
DDR1	NM_001297652
DDR1	NM_001387907
DDR1	NM_001387913
DDR1	NM_001202523
ADAM33	NM_001282447
THG1L	NM_017872
THG1L	NM_001317825
THG1L	NM_001317824
THG1L	NM_001317826
TMEM18	NM_001352681
SOAT2	NM_003578
DDR1	NM_001202521
DDR1	NM_001202522
ADAM33	NM_153202
DDR1	NM_001387901
DDR1	NM_001387899
DDR1	NM_001387897
DDR1	NM_001387895
DDR1	NM_001387904
DDR1	NM_013993
ADAM33	NM_025220
TMEM18	NM_001352680
PON1	NM_000446
CPXM2	NM_198148
DDR1	NM_001410869
DAPP1	NM_001306151
SFTA2	NM_205854
DAPP1	NM_014395
SFMBT1	NM_016329
PCDH10	NM_020815
PELO	NM_015946
DUSP6	NM_001946
ARSA	NM_001085427
ARSA	NM_001085426
ARSA	NM_001085425
ARSA	NM_000487
DUSP6	NM_022652
CSNKA2IP	NM_001368167
CSNKA2IP	NM_001368168
CSNKA2IP	NM_001368166
CSNKA2IP	NM_001368165
PCDH10	NM_032961
GPR158	NM_020752
CYP4F3	NM_001199209
SKIC2	NM_006929
CYP4F3	NM_001199208
CYP4F3	NM_000896
ARSA	NM_001362782
ARSA	NM_001085428
CYP4F3	NM_001369696
CCHCR1	NM_001394649
CCHCR1	NM_001394647
CCHCR1	NM_001394648
CCHCR1	NM_019052
CCHCR1	NM_001394644
CCHCR1	NM_001394646
CCHCR1	NM_001394642
CCHCR1	NM_001394643
STK19	NM_032454
METTL25	NM_001319675
METTL25	NM_001347934
METTL25	NM_032230
RPS7	NM_001011
CCHCR1	NM_001105563
CCHCR1	NM_001105564
CCHCR1	NM_001394641
SLC6A4	NM_001045
STK19	NM_004197
NOX4	NM_001291927
PBX2	NM_002586
TMEM191C	NM_001207052
TMEM191C	NM_001388354
MSGN1	NM_001105569
UQCRC2	NM_003366
AIF1	NM_001623
COL11A2	NM_080681
AIF1	NM_001318970
AIF1	NM_032955
NSD3	NM_023034
NOX4	NM_001143836
HERC3	NM_001375483
HERC3	NM_001375482
HERC3	NM_001375479
HERC3	NM_001375478
HERC3	NM_001375477
HERC3	NM_001375481
COL11A2	NM_001163771
COL11A2	NM_080679
ELK3	NM_005230
COL11A2	NM_080680
NOX4	NM_016931
NSD3	NM_017778
NOX4	NM_001300995
SLC44A4	NM_025257
MAPKAPK3	NM_001243926
NOX4	NM_001143837
HLA-B	NM_005514
MSL1	NM_001365919
MSL1	NM_001365921
MSL1	NM_001365920
SLC44A4	NM_001178044
SLC44A4	NM_001178045
NOX4	NM_001291929
ATP6V1G2	NM_130463
ATP6V1G2	NM_001204078
MSL1	NM_001012241
MAPKAPK3	NM_001243925
MAPKAPK3	NM_004635
SBK1	NM_001024401
NOX4	NM_001291926
RAB36	NM_001349877
RAB36	NM_001349878
RAB36	NM_004914
RNF150	NM_020724
ZNF675	NM_138330
H1-0	NM_005318
CLDN5	NM_001363066
VGLL3	NM_001320494
VGLL3	NM_016206
CLDN5	NM_001130861
CLDN5	NM_001363067
VGLL3	NM_001320493
SLC12A5	NM_001134771
CLDN5	NM_003277
RHOD	NM_014578
RHOD	NM_001300886
FAM227A	NM_001384271
FAM227A	NM_001013647
FAM227A	NM_001291030
FAM227A	NM_001384270
RAB39A	NM_017516
NFKBIL1	NM_001144962
NFKBIL1	NM_001144963
NFKBIL1	NM_005007
NFKBIL1	NM_001144961
TM6SF2	NM_001001524
GBE1	NM_000158
IL27	NM_145659
CDSN	NM_001264
MICA	NM_001177519
RIMBP3C	NM_001128633
MICA	NM_001289152
MICA	NM_001289153
MICA	NM_001289154
CCN4	NM_003882
C22orf31	NM_001386866
C22orf31	NM_015370
CCN4	NM_001204870
DAXX	NM_001141970
DAXX	NM_001350
DAXX	NM_001141969
CCN4	NM_001204869
SLC12A5	NM_020708
ZC2HC1B	NM_001013623
CCN4	NM_080838
DAXX	NM_001369203
DAXX	NM_001254717
HLA-C	NM_002117
GINM1	NM_138785
SAMD5	NM_001030060
RNF5	NM_006913
EMC7	NM_020154
SGF29	NM_138414
WDR46	NM_001164267
WDR46	NM_005452
JAKMIP2	NM_001270934
ZNF330	NM_014487
ZNF330	NM_001292002
PGBD4	NM_152595
JAKMIP2	NM_014790
JAKMIP2	NM_001282282
POU5F1	NM_002701
POU5F1	NM_001173531
POU5F1	NM_203289
POU5F1	NM_001285986
C4B	NM_001002029
JAKMIP2	NM_001270941
PSMB1	NM_002793
PPM1F	NM_001410836
PPM1F	NM_014634
MMS19	NM_001351358
MMS19	NM_001351359
SLC2A12	NM_145176
ULBP1	NM_025218
HGF	NM_000601
LHFPL2	NM_005779
SOBP	NM_018013
CYP11B1	NM_000497
HGF	NM_001010932
HGF	NM_001010931
HGF	NM_001010933
PSMB8	NM_148919
TAP2	NM_000544
PSMB8	NM_004159
SUGP2	NM_001017392
HGF	NM_001010934
SMC6	NM_001142286
SMC6	NM_024624
CYP11B1	NM_001026213
KATNBL1	NM_024713
TUFM	NM_001365360
TUFM	NM_003321
SUGP2	NM_001321697
SUGP2	NM_014884
DOCK3	NM_004947
SUGP2	NM_001352071
SUGP2	NM_001321698
SUGP2	NM_001321699
STK10	NM_005990
HERC3	NM_014606
HERC3	NM_001375480
HERC3	NM_001271602
ZNRF2	NM_147128
HERC3	NM_001318505
RARA	NM_000964
RARA	NM_001145301
RARA	NM_001145302
TTI2	NM_001102401
TTI2	NM_025115
TTI2	NM_001330505
LRATD1	NM_145175
TTI2	NM_001265581
LRATD1	NM_001369364
RARA	NM_001024809
HLA-DRB4	NM_021983
FGD6	NM_018351
EMC4	NM_001286420
PCBD2	NM_032151
MED17	NM_004268
EMC4	NM_001351373
EMC4	NM_016454
CCR7	NM_001838
CCR7	NM_001301717
CCR7	NM_001301716
CCR7	NM_001301718
CCR7	NM_001301714
FAM133B	NM_001040057
RABEP2	NM_024816
FAM133B	NM_152789
WDR27	NM_182552
FAM133B	NM_001288584
PNMT	NM_002686
HLA-DRB1	NM_001243965
WDR27	NM_001350623
WDR27	NM_001202550
WDR27	NM_001350625
WDR27	NM_001350624
GPX6	NM_182701
FRMD4B	NM_015123
RRBP1	NM_001365613
TPST1	NM_003596
GSDMA	NM_178171
GATB	NM_001363341
GATB	NM_004564
RRBP1	NM_004587
HEPHL1	NM_001098672
RRBP1	NM_001042576
VSTM5	NM_001144871
TOP3B	NM_001282113
TOP3B	NM_001282112
TOP3B	NM_001349847
TOP3B	NM_001349845
MEF2B	NM_001145785
TOP3B	NM_001349848
TOP3B	NM_001349851
TOP3B	NM_001349850
TOP3B	NM_001349852
ZDHHC14	NM_153746
HLA-C	NM_001243042
ASAP2	NM_003887
MEF2B	NM_005919
MEF2B	NM_001367282
ZDHHC14	NM_024630
PDE7A	NM_001242318
ORMDL3	NM_001320803
ORMDL3	NM_139280
FLNA	NM_001456
MMS19	NM_001289404
MMS19	NM_001351357
MMS19	NM_022362
MMS19	NM_001351356
ORMDL3	NM_001320802
MMS19	NM_001289405
MTMR12	NM_001294343
PDE7A	NM_002603
TOP3B	NM_003935
ASAP2	NM_001135191
ORMDL3	NM_001320801
MMS19	NM_001330128
MTMR12	NM_001040446
ABHD2	NM_007011
MTMR12	NM_001294344
CD19	NM_001178098
TRIM49	NM_020358
ABHD2	NM_152924
CD19	NM_001770
CD19	NM_001385732
FLNA	NM_001110556
ZNF431	NM_001319126
ZNF431	NM_001319124
ZNF431	NM_001319127
ZNF431	NM_133473
RAB38	NM_022337
NTSR2	NM_012344
MMS19	NM_001289403
TNS4	NM_032865
ELP1	NM_003640
RLBP1	NM_000326
CLTRN	NM_020665
ENO4	NM_001242699
GAL	NM_015973
COPRS	NM_018405
COPRS	NM_001330176
SPAG1	NM_003114
PDE7B	NM_018945
SGK2	NM_170693
VPREB1	NM_001303509
SPAG1	NM_001374321
SPAG1	NM_172218
VPREB1	NM_007128
ZNF98	NM_001098626
SGK2	NM_001199264
NHLRC2	NM_198514
DPYSL3	NM_001387
SGK2	NM_016276
ZNF708	NM_021269
AOC3	NM_003734
DPYSL3	NM_001197294
EMX2	NM_004098
ZNF708	NM_001297561
ZNF708	NM_001297560
SLC35F2	NM_017515
ELP1	NM_001318360
ASNS	NM_133436
EMX2	NM_001165924
AOC3	NM_001277732
C4A	NM_007293
AOC3	NM_001277731
ASNS	NM_001178077
RPL10	NM_001303624
RPL10	NM_001303626
ASNS	NM_001352496
ASNS	NM_001673
ASNS	NM_183356
G6PC1	NM_001270397
C4A	NM_001252204
ASNS	NM_001178076
RPL10	NM_001303625
RPL10	NM_001256580
RPL10	NM_006013
LSM11	NM_173491
STMN2	NM_007029
ASNS	NM_001178075
RPL10	NM_001256577
TULP4	NM_020245
G6PC1	NM_000151
RTKN2	NM_145307
EFCAB9	NM_001171183
STMN2	NM_001199214
TULP4	NM_001007466
RTKN2	NM_001282941
ELP1	NM_001330749
LY6L	NM_001368160
ZNF730	NM_001277403
CCDC157	NM_001318335
LY6H	NM_002347
LY6H	NM_001135655
LY6H	NM_001130478
SMC1A	NM_006306
CCDC157	NM_001318334
PEG10	NM_001040152
SMC1A	NM_001281463
CCDC157	NM_001017437
HAPLN4	NM_023002
LY6E	NM_002346
RBM46	NM_001277171
LY6E	NM_001127213
PEG10	NM_001172438
RBM46	NM_144979
PEG10	NM_001172437
RBM46	NM_001277173
PEG10	NM_015068
PEG10	NM_001184962
PEG10	NM_001184961
KAT14	NM_001392072
KAT14	NM_001392071
ODF3B	NM_001382807
RELT	NM_152222
KAT14	NM_001384192
KAT14	NM_001392079
KAT14	NM_001392081
ODF3B	NM_001014440
ABITRAM	NM_017832
ODF3B	NM_001410791
KAT14	NM_001392075
KAT14	NM_001392078
KAT14	NM_001392077
KAT14	NM_001392073
KAT14	NM_001392080
ZNF728	NM_001267716
KAT14	NM_001392070
ODF3B	NM_001382808
KAT14	NM_001392074
KAT14	NM_001392076
RELT	NM_032871
KAT14	NM_020536
KAT14	NM_001392069
SHISA8	NM_001207020
SHISA8	NM_001353439
SHISA8	NM_001353438
OPALIN	NM_033207
CARD18	NM_021571
HADHA	NM_000182
TGM3	NM_003245
XKR3	NM_175878
XKR3	NM_001318251
OPALIN	NM_001040103
OPALIN	NM_001284322
OPALIN	NM_001284324
OPALIN	NM_001284323
XKR3	NM_001386956
XKR3	NM_001386957
XKR3	NM_001386955
OPALIN	NM_001040102
CTNNAL1	NM_001286974
OPALIN	NM_001284327
OPALIN	NM_001284326
CTNNAL1	NM_003798
OPALIN	NM_001284320
OPALIN	NM_001284321
JPH1	NM_001317830
JPH1	NM_020647
JPH1	NM_001363050
JPH1	NM_001363051
RINT1	NM_021930
RINT1	NM_001346600
RINT1	NM_001346601
RINT1	NM_001346603
RINT1	NM_001346599
PHF10	NM_133325
TGM6	NM_198994
JOSD1	NM_001360235
QRFP	NM_198180
TSHZ3	NM_020856
TGM6	NM_001254734
JOSD1	NM_014876
JOSD1	NM_001360236
AFF4	NM_014423
PHF10	NM_018288
SPNS1	NM_032038
SPNS1	NM_001142448
NR3C2	NM_000901
SPNS1	NM_001142450
SRD5A2	NM_000348
NR3C2	NM_001354819
NR3C2	NM_001166104
FIBCD1	NM_001145106
FIBCD1	NM_032843
SPNS1	NM_001142451
OSR1	NM_145260
SPNS1	NM_001142449
PDCD2L	NM_032346
PDCD2L	NM_001353433
GSTO2	NM_183239
GSTO2	NM_001191014
GSTO2	NM_001191015
PRDM12	NM_021619
GSTO2	NM_001191013
TTC32	NM_001008237
IER5L	NM_203434
AIG1	NM_001363721
SNRPB	NM_198216
AIG1	NM_001286587
AIG1	NM_001366345
AIG1	NM_001366352
AIG1	NM_001366351
AIG1	NM_001366346
AIG1	NM_001366344
AIG1	NM_001366348
AIG1	NM_016108
AIG1	NM_001366350
AIG1	NM_001366354
AIG1	NM_001366353
AIG1	NM_001366355
SNRPB	NM_003091
TMEM135	NM_001168724
AIG1	NM_001286588
SULT4A1	NM_014351
AIG1	NM_001366362
AIG1	NM_001366363
AIG1	NM_001366359
AIG1	NM_001366356
AIG1	NM_001286589
ZNF251	NM_138367
AIG1	NM_001366347
AIG1	NM_001366349
AIG1	NM_001366361
AIG1	NM_001366358
FGL1	NM_004467
TMEM135	NM_022918
FGL1	NM_147203
YIPF5	NM_030799
FGL1	NM_201553
FGL1	NM_201552
YIPF5	NM_001024947
CHST8	NM_001127896
YIPF5	NM_001271732
SPATA31A1	NM_001085452
PNPLA5	NM_138814
CHST8	NM_022467
PNPLA5	NM_001177675
PNPLA5	NM_001371410
STARD3	NM_006804
CHST8	NM_001127895
ZNF723	NM_001349726
SPN	NM_001030288
SPN	NM_003123
CADPS	NM_003716
KATNA1	NM_001204076
PRDM6	NM_001136239
CADPS	NM_183393
SLC46A2	NM_033051
KATNA1	NM_007044
CADPS	NM_183394
STARD3	NM_001165937
LRRC27	NM_001143759
SLC9A6	NM_001400909
LRRC27	NM_001143758
SLC9A6	NM_001400910
LRRC27	NM_001143757
LRRC27	NM_030626
SLC9A6	NM_001400913
SLC9A6	NM_001330652
SLC9A6	NM_001400911
SLC9A6	NM_001177651
SLC9A6	NM_001400912
TUBE1	NM_016262
TRPC6	NM_004621
SLC31A2	NM_001860
LRRC27	NM_001309474
SLC9A6	NM_006359
OR1K1	NM_080859
MYH9	NM_002473
STARD3	NM_001165938
SLC9A6	NM_001042537
SLC9A6	NM_001379110
PRR23D1	NM_001282479
PWWP2B	NM_001098637
CCDC112	NM_001375896
CCDC112	NM_001040440
KBTBD8	NM_032505
PRDM16	NM_199454
FAM90A22	NM_001397382
PWWP2B	NM_138499
PRDM16	NM_022114
LTV1	NM_001329953
LTV1	NM_032860
CCDC112	NM_001375897
SPAG11B	NM_058207
SPAG11B	NM_058206
CCDC112	NM_001375898
CCDC112	NM_001375899
CCDC112	NM_152549
SPAG11B	NM_058203
FAM90A23	NM_001397380
PDE1C	NM_001191057
EFR3B	NM_014971
TAOK2	NM_016151
EFR3B	NM_001319099
IGFBP4	NM_001552
PDE1C	NM_001191059
PDE1C	NM_001322055
TAOK2	NM_001252043
GSDMC	NM_031415
TMEM144	NM_018342
PDE1C	NM_001191058
PDE1C	NM_001322059
PDE1C	NM_001322058
TAOK2	NM_004783
PSD	NM_001270966
PDE1C	NM_005020
PDE1C	NM_001322056
RASD2	NM_001376515
RASD2	NM_001376516
RASD2	NM_001366725
RASD2	NM_014310
PDE1C	NM_001322057
PDE1C	NM_001191056
PSD	NM_001270965
TMIGD1	NM_001319942
PSD	NM_002779
TMIGD1	NM_206832
PEX10	NM_001374426
PEX10	NM_001374425
PEX10	NM_153818
MB	NM_001382813
MB	NM_001382812
PEX10	NM_001374427
PEX10	NM_002617
RC3H2	NM_001354479
RC3H2	NM_001354482
RC3H2	NM_001354478
RC3H2	NM_001100588
HIRIP3	NM_003609
FNDC1	NM_032532
CUEDC2	NM_024040
HIRIP3	NM_001197323
RC3H2	NM_018835
MB	NM_001382811
MB	NM_005368
RC3H2	NM_001354486
C10orf95	NM_001363580
SLCO6A1	NM_001289002
SLCO6A1	NM_173488
MB	NM_203378
MB	NM_203377
MB	NM_001382809
MB	NM_001362846
MB	NM_001382810
PDZRN3	NM_015009
ZBTB6	NM_006626
RALGAPB	NM_001282918
SLCO6A1	NM_001289004
PDZRN3	NM_001303141
PDZRN3	NM_001303140
SLCO6A1	NM_001308014
PDZRN3	NM_001303142
ZBTB26	NM_001304363
ZBTB26	NM_020924
PDZRN3	NM_001303139
ZBTB26	NM_001304364
MFSD13A	NM_024789
APOL6	NM_030641
RALGAPB	NM_020336
