genename	refseq
NLGN4Y	NM_001365584
NLGN4Y	NM_001365588
NLGN4Y	NM_001365591
NLGN4Y	NM_001365590
NLGN4Y	NM_001394831
NLGN4Y	NM_001365592
NLGN4Y	NM_001365593
NLGN4Y	NM_001164238
NEDD8-MDP1	NM_001199823
NEDD8	NM_006156
GMPR2	NM_001351024
GMPR2	NM_001283021
GMPR2	NM_001351025
GMPR2	NM_001351026
GMPR2	NM_001351022
GMPR2	NM_001002000
GMPR2	NM_001351023
GMPR2	NM_001002001
GMPR2	NM_001002002
GMPR2	NM_016576
GMPR2	NM_001283022
GMPR2	NM_001283023
VCY1B	NM_181880
TINF2	NM_001099274
TINF2	NM_012461
TINF2	NM_001363668
RPS4Y2	NM_001039567
TGM1	NM_000359
RABGGTA	NM_004581
RABGGTA	NM_182836
DHRS1	NM_001136050
DHRS1	NM_138452
PCDH11Y	NM_032971
NOP9	NM_174913
NOP9	NM_001286367
PCDH11Y	NM_001278619
PCDH11Y	NM_001395587
CIDEB	NM_001393340
CIDEB	NM_001393339
CIDEB	NM_001393337
CIDEB	NM_001318807
CIDEB	NM_001393338
CIDEB	NM_001393334
CIDEB	NM_001393336
CIDEB	NM_014430
CIDEB	NM_001393335
PCDH11Y	NM_032972
PCDH11Y	NM_032973
LTB4R2	NM_001164692
LTB4R2	NM_019839
LTB4R	NM_001143919
LTB4R	NM_181657
CDY1B	NM_001003895
CDY1B	NM_001003894
ADCY4	NM_139247
ADCY4	NM_001198592
ADCY4	NM_001198568
RIPK3	NM_006871
BPY2B	NM_001002760
NFATC4	NM_001136022
NFATC4	NM_001320043
NFATC4	NM_001198967
NFATC4	NM_001198965
NFATC4	NM_004554
NFATC4	NM_001198966
NFATC4	NM_001363682
NFATC4	NM_001288802
NFATC4	NM_001363681
DHRS4	NM_001282987
DHRS4	NM_021004
DHRS4	NM_001282989
DHRS4	NM_001282991
DHRS4	NM_001282990
DHRS4	NM_001282988
CDY1	NM_170723
CDY1	NM_004680
DHRS4L2	NM_001193636
DHRS4L2	NM_001193635
DHRS4L2	NM_198083
RBMY1J	NM_001006117
TSPY9	NM_001396063
RBMY1B	NM_001006121
RBMY1B	NM_001320948
RBMY1A1	NM_005058
RBMY1A1	NM_001320944
RBMY1A1	NM_001320945
H3-4	NM_003493
H2AC25	NM_033445
H2BC26	NM_175055
RNF187	NM_001010858
RHOU	NM_021205
LEUTX	NM_001143832
LEUTX	NM_001382345
DYRK1B	NM_004714
DYRK1B	NM_006484
DYRK1B	NM_006483
FBL	NM_001436
PSMC4	NM_006503
PSMC4	NM_153001
ZNF546	NM_178544
ZNF546	NM_001297763
ZNF780B	NM_001005851
TSPY3	NM_001077697
ZNF780A	NM_001142579
ZNF780A	NM_001142578
ZNF780A	NM_001010880
ZNF780A	NM_001142577
FCGBP	NM_003890
PPP2R3B	NM_013239
IL3RA	NM_002183
IL3RA	NM_001267713
P2RY8	NM_178129
SLC25A6	NM_001636
ASMT	NM_004043
ASMT	NM_001171038
